,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,1895,English,Reading/Fluency,110.20.b.1,8,Reading/Fluency. Students read grade-level text with fluency and comprehension. Students are expected to adjust fluency when reading aloud grade-level text based on the reading purpose and the nature of the text.,adjust fluency when reading aloud grade-level text based on the reading purpose and the nature of the text.,158193,110.20.1.A
1,1918,English,Comprehension of Informational Text/Expository Text,110.20.b.10,8,"Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding. Students are expected to:","Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding.",175647,110.20.10
2,1919,English,Comprehension of Informational Text/Expository Text,110.20.b.10.A,8,"summarize the main ideas, supporting details, and relationships among ideas in text succinctly in ways that maintain meaning and logical order;","summarize the main ideas, supporting details, and relationships among ideas in text succinctly in ways that maintain meaning and logical order.",158210,110.20.10.A
3,1920,English,Comprehension of Informational Text/Expository Text,110.20.b.10.B,8,distinguish factual claims from commonplace assertions and opinions and evaluate inferences from their logic in text;,distinguish factual claims from commonplace assertions and opinions and evaluate inferences from their logic in text.,158211,110.20.10.B
4,1921,English,Comprehension of Informational Text/Expository Text,110.20.b.10.C,8,make subtle inferences and draw complex conclusions about the ideas in text and their organizational patterns; and,make subtle inferences and draw complex conclusions about the ideas in text and their organizational patterns.,158212,110.20.10.C
5,1922,English,Comprehension of Informational Text/Expository Text,110.20.b.10.D,8,synthesize and make logical connections between ideas within a text and across two or three texts representing similar or different genres and support those findings with textual evidence.,synthesize and make logical connections between ideas within a text and across two or three texts representing similar or different genres and support those findings with textual evidence.,158213,110.20.10.D
6,1923,English,Comprehension of Informational Text/Persuasive Text,110.20.b.11,8,"Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to:","Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis.",175648,110.20.11
7,1924,English,Comprehension of Informational Text/Persuasive Text,110.20.b.11.A,8,compare and contrast persuasive texts that reached different conclusions about the same issue and explain how the authors reached their conclusions through analyzing the evidence each presents; and,compare and contrast persuasive texts that reached different conclusions about the same issue and explain how the authors reached their conclusions through analyzing the evidence each presents.,158214,110.20.11.A
8,1925,English,Comprehension of Informational Text/Persuasive Text,110.20.b.11.B,8,"analyze the use of such rhetorical and logical fallacies as loaded terms, caricatures, leading questions, false assumptions, and incorrect premises in persuasive texts.","analyze the use of such rhetorical and logical fallacies as loaded terms, caricatures, leading questions, false assumptions, and incorrect premises in persuasive texts.",158215,110.20.11.B
9,1926,English,Comprehension of Informational Text/Procedural Texts,110.20.b.12,8,Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,175649,110.20.12
10,1916,English,Comprehension of Informational Text/Procedural Texts,110.20.b.12.A,8,analyze text for missing or extraneous information in multi-step directions or legends for diagrams; and,analyze text for missing or extraneous information in multi-step directions or legends for diagrams.,158216,110.20.12.A
11,1917,English,Comprehension of Informational Text/Procedural Texts,110.20.b.12.B,8,evaluate graphics for their clarity in communicating meaning or achieving a specific purpose.,evaluate graphics for their clarity in communicating meaning or achieving a specific purpose.,158217,110.20.12.B
12,1927,English,Reading/Media Literacy,110.20.b.13,8,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts.",175650,110.20.13
13,1903,English,Reading/Media Literacy,110.20.b.13.A,8,evaluate the role of media in focusing attention on events and informing opinion on issues;,evaluate the role of media in focusing attention on events and informing opinion on issues.,158218,110.20.13.A
14,1904,English,Reading/Media Literacy,110.20.b.13.B,8,"interpret how visual and sound techniques (e.g., special effects, camera angles, lighting, music) influence the message;","interpret how visual and sound techniques (e.g., special effects, camera angles, lighting, music) influence the message.",158219,110.20.13.B
15,1928,English,Reading/Media Literacy,110.20.b.13.C,8,evaluate various techniques used to create a point of view in media and the impact on audience; and,evaluate various techniques used to create a point of view in media and the impact on audience.,158220,110.20.13.C
16,1929,English,Reading/Media Literacy,110.20.b.13.D,8,assess the correct level of formality and tone for successful participation in various digital media.,assess the correct level of formality and tone for successful participation in various digital media.,158221,110.20.13.D
17,1930,English,Writing/Writing Process,110.20.b.14,8,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",175651,110.20.14
18,1931,English,Writing/Writing Process,110.20.b.14.A,8,"plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience, determining appropriate topics through a range of strategies (e.g., discussion, background reading, personal interests, interviews), and developing a thesis or controlling idea;","plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience, determining appropriate topics through a range of strategies (e.g., discussion, background reading, personal interests, interviews), and developing a thesis or controlling idea.",158222,110.20.14.A
19,1934,English,Writing/Writing Process,110.20.b.14.B,8,"develop drafts by choosing an appropriate organizational strategy (e.g., sequence of events, cause-effect, compare-contrast) and building on ideas to create a focused, organized, and coherent piece of writing;","develop drafts by choosing an appropriate organizational strategy (e.g., sequence of events, cause-effect, compare-contrast) and building on ideas to create a focused, organized, and coherent piece of writing.",158223,110.20.14.B
20,1935,English,Writing/Writing Process,110.20.b.14.C,8,"revise drafts to ensure precise word choice and vivid images; consistent point of view; use of simple, compound, and complex sentences; internal and external coherence; and the use of effective transitions after rethinking how well questions of purpose, audience, and genre have been addressed;","revise drafts to ensure precise word choice and vivid images; consistent point of view; use of simple, compound, and complex sentences; internal and external coherence; and the use of effective transitions after rethinking how well questions of purpose, audience, and genre have been addressed.",158224,110.20.14.C
21,1936,English,Writing/Writing Process,110.20.b.14.D,8,"edit drafts for grammar, mechanics, and spelling; and","edit drafts for grammar, mechanics, and spelling.",158225,110.20.14.D
22,1937,English,Writing/Writing Process,110.20.b.14.E,8,revise final draft in response to feedback from peers and teacher and publish written work for appropriate audiences.,revise final draft in response to feedback from peers and teacher and publish written work for appropriate audiences.,158226,110.20.14.E
23,1938,English,Writing/Literary Texts,110.20.b.15,8,"Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas. Students are expected to:","Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas.",175652,110.20.15
24,1939,English,Writing/Literary Texts,110.20.b.15.A,8,write an imaginative story that:,write an imaginative story that,175831,110.20.15.A
25,1940,English,Writing/Literary Texts,110.20.b.15.A.i,8,sustains reader interest;,write an imaginative story that sustains reader interest.,158227,110.20.15.Ai
26,1941,English,Writing/Literary Texts,110.20.b.15.A.ii,8,includes well-paced action and an engaging story line;,write an imaginative story that includes well-paced action and an engaging story line.,158228,110.20.15.Aii
