,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,2486,English,Reading/Vocabulary Development,110.32.b.1,"9, 10, 11, 12",175700,110.32.1
1,2487,English,Reading/Vocabulary Development,110.32.b.1.A,"9, 10, 11, 12",158440,110.32.1.A
2,2491,English,Reading/Vocabulary Development,110.32.b.1.B,"9, 10, 11, 12",158441,110.32.1.B
3,2492,English,Reading/Vocabulary Development,110.32.b.1.C,"9, 10, 11, 12",158442,110.32.1.C
4,2493,English,Reading/Vocabulary Development,110.32.b.1.D,"9, 10, 11, 12",158443,110.32.1.D
5,2494,English,Reading/Vocabulary Development,110.32.b.1.E,"9, 10, 11, 12",158444,110.32.1.E
6,2521,English,Reading/Comprehension of Informational Text/Persuasive Text,110.32.b.10,"9, 10, 11, 12",175701,110.32.10
7,2522,English,Reading/Comprehension of Informational Text/Persuasive Text,110.32.b.10.A,"9, 10, 11, 12",158461,110.32.10.A
8,2523,English,Reading/Comprehension of Informational Text/Persuasive Text,110.32.b.10.B,"9, 10, 11, 12",158462,110.32.10.B
9,2524,English,Reading/Comprehension of Informational Text/Procedural Texts,110.32.b.11,"9, 10, 11, 12",175702,110.32.11
10,2504,English,Reading/Comprehension of Informational Text/Procedural Texts,110.32.b.11.A,"9, 10, 11, 12",158463,110.32.11.A
11,2525,English,Reading/Comprehension of Informational Text/Procedural Texts,110.32.b.11.B,"9, 10, 11, 12",158464,110.32.11.B
12,2526,English,Reading/Media Literacy,110.32.b.12,"9, 10, 11, 12",175703,110.32.12
13,2505,English,Reading/Media Literacy,110.32.b.12.A,"9, 10, 11, 12",158465,110.32.12.A
14,2527,English,Reading/Media Literacy,110.32.b.12.B,"9, 10, 11, 12",158466,110.32.12.B
15,2506,English,Reading/Media Literacy,110.32.b.12.C,"9, 10, 11, 12",158467,110.32.12.C
16,2488,English,Reading/Media Literacy,110.32.b.12.D,"9, 10, 11, 12",158468,110.32.12.D
17,2528,English,Writing/Writing Process,110.32.b.13,"9, 10, 11, 12",175704,110.32.13
18,2529,English,Writing/Writing Process,110.32.b.13.A,"9, 10, 11, 12",158469,110.32.13.A
19,2530,English,Writing/Writing Process,110.32.b.13.B,"9, 10, 11, 12",158470,110.32.13.B
20,2531,English,Writing/Writing Process,110.32.b.13.C,"9, 10, 11, 12",158471,110.32.13.C
