,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,2899,English,The student reads widely for a variety of purposes from numerous sources and cultures,110.48.b.1,"9, 10, 11, 12",,
1,2900,English,The student reads widely for a variety of purposes from numerous sources and cultures,110.48.b.1.A,"9, 10, 11, 12",174953,110.48.1.A
2,2901,English,The student reads widely for a variety of purposes from numerous sources and cultures,110.48.b.1.B,"9, 10, 11, 12",174954,110.48.1.B
3,2902,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2,"9, 10, 11, 12",,
4,2903,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2.A,"9, 10, 11, 12",174955,110.48.2.A
5,2904,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2.B,"9, 10, 11, 12",174956,110.48.2.B
6,2907,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2.C,"9, 10, 11, 12",174957,110.48.2.C
7,2908,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2.D,"9, 10, 11, 12",174958,110.48.2.D
8,2909,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2.E,"9, 10, 11, 12",174959,110.48.2.E
9,2910,English,The student builds an extensive vocabulary through reading and systematic word study,110.48.b.2.F,"9, 10, 11, 12",174960,110.48.2.F
10,2911,English,The student comprehends texts using a variety of strategies,110.48.b.3,"9, 10, 11, 12",,
11,2912,English,The student comprehends texts using a variety of strategies,110.48.b.3.A,"9, 10, 11, 12",174961,110.48.3.A
12,2913,English,The student comprehends texts using a variety of strategies,110.48.b.3.B,"9, 10, 11, 12",174962,110.48.3.B
13,2914,English,The student comprehends texts using a variety of strategies,110.48.b.3.C,"9, 10, 11, 12",174963,110.48.3.C
14,2915,English,The student comprehends texts using a variety of strategies,110.48.b.3.D,"9, 10, 11, 12",174964,110.48.3.D
15,2916,English,The student comprehends texts using a variety of strategies,110.48.b.3.E,"9, 10, 11, 12",174965,110.48.3.E
16,2917,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4,"9, 10, 11, 12",,
17,2918,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.A,"9, 10, 11, 12",174966,110.48.4.A
18,2919,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.B,"9, 10, 11, 12",174967,110.48.4.B
19,2920,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.C,"9, 10, 11, 12",174968,110.48.4.C
20,2921,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.D,"9, 10, 11, 12",174969,110.48.4.D
21,2922,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.E,"9, 10, 11, 12",174970,110.48.4.E
22,2923,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.F,"9, 10, 11, 12",174971,110.48.4.F
23,2927,English,The student reads critically to evaluate texts and the authority of sources,110.48.b.4.G,"9, 10, 11, 12",174972,110.48.4.G
24,2924,English,The student uses study strategies to learn from a variety of texts,110.48.b.5,"9, 10, 11, 12",,
25,2928,English,The student uses study strategies to learn from a variety of texts,110.48.b.5.A,"9, 10, 11, 12",174973,110.48.5.A
26,2929,English,The student uses study strategies to learn from a variety of texts,110.48.b.5.B,"9, 10, 11, 12",174974,110.48.5.B
27,2930,English,The student uses study strategies to learn from a variety of texts,110.48.b.5.C,"9, 10, 11, 12",174975,110.48.5.C
28,2925,English,The student uses study strategies to learn from a variety of texts,110.48.b.5.D,"9, 10, 11, 12",174976,110.48.5.D
29,2931,English,The student expresses and supports responses to various types of texts,110.48.b.6,"9, 10, 11, 12",,
30,2932,English,The student expresses and supports responses to various types of texts,110.48.b.6.A,"9, 10, 11, 12",174977,110.48.6.A
31,2926,English,The student expresses and supports responses to various types of texts,110.48.b.6.B,"9, 10, 11, 12",174978,110.48.6.B
32,2905,English,The student expresses and supports responses to various types of texts,110.48.b.6.C,"9, 10, 11, 12",174979,110.48.6.C
