,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,1327,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1,3,175501,110.14.1
1,1328,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A,3,175790,110.14.1.A
2,1329,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.i,3,157746,110.14.1.Ai
3,1330,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.ii,3,157747,110.14.1.Aii
4,1331,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.iii,3,157748,110.14.1.Aiii
5,1332,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.iv,3,157749,110.14.1.Aiv
6,1333,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.v,3,157750,110.14.1.Av
7,1334,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B,3,175791,110.14.1.B
8,1335,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.i,3,157751,110.14.1.Bi
9,1336,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.ii,3,157752,110.14.1.Bii
10,1337,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.iii,3,157753,110.14.1.Biii
11,1338,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.iv,3,157754,110.14.1.Biv
12,1339,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.v,3,157755,110.14.1.Bv
13,1340,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.C,3,157756,110.14.1.C
14,1341,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.D,3,157757,110.14.1.D
15,1342,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.E,3,157758,110.14.1.E
16,1366,English,Reading/Comprehension of Literary Text/Sensory Language,110.14.b.10,3,157776,110.14.10.A
17,1367,English,Reading/Comprehension of Text/Independent Reading,110.14.b.11,3,157777,110.14.11.A
18,1368,English,Reading/Comprehension of Informational Text/Culture and History,110.14.b.12,3,157778,110.14.12.A
19,1369,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13,3,175505,110.14.13
20,1344,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.A,3,157779,110.14.13.A
21,1345,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.B,3,157780,110.14.13.B
22,1370,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.C,3,157781,110.14.13.C
23,1371,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.D,3,157782,110.14.13.D
24,1376,English,Reading/Comprehension of Informational Text/Persuasive Text,110.14.b.14,3,157783,110.14.14.A
25,1377,English,Reading/Comprehension of Informational Text/Procedural Texts,110.14.b.15,3,175507,110.14.15
26,1378,English,Reading/Comprehension of Informational Text/Procedural Texts,110.14.b.15.A,3,157784,110.14.15.A
27,1379,English,Reading/Comprehension of Informational Text/Procedural Texts,110.14.b.15.B,3,157785,110.14.15.B
28,1380,English,Reading/Media Literacy,110.14.b.16,3,175508,110.14.16
29,1381,English,Reading/Media Literacy,110.14.b.16.A,3,157786,110.14.16.A
30,1382,English,Reading/Media Literacy,110.14.b.16.B,3,157787,110.14.16.B
31,1383,English,Reading/Media Literacy,110.14.b.16.C,3,157788,110.14.16.C
32,1384,English,Writing/Writing Process,110.14.b.17,3,175509,110.14.17
33,1385,English,Writing/Writing Process,110.14.b.17.A,3,157789,110.14.17.A
34,1386,English,Writing/Writing Process,110.14.b.17.B,3,157790,110.14.17.B
35,1387,English,Writing/Writing Process,110.14.b.17.C,3,157791,110.14.17.C
36,1388,English,Writing/Writing Process,110.14.b.17.D,3,157792,110.14.17.D
37,1389,English,Writing/Writing Process,110.14.b.17.E,3,157793,110.14.17.E
38,1390,English,Writing/Literary Texts,110.14.b.18,3,175510,110.14.18
39,1391,English,Writing/Literary Texts,110.14.b.18.A,3,157794,110.14.18.A
40,1392,English,Writing/Literary Texts,110.14.b.18.B,3,157795,110.14.18.B
41,1393,English,Writing,110.14.b.19,3,157796,110.14.19.A
42,1346,English,Reading/Beginning Reading/Strategies,110.14.b.2,3,175512,110.14.2
43,1347,English,Reading/Beginning Reading/Strategies,110.14.b.2.A,3,157759,110.14.2.A
44,1348,English,Reading/Beginning Reading/Strategies,110.14.b.2.B,3,157760,110.14.2.B
45,1349,English,Reading/Beginning Reading/Strategies,110.14.b.2.C,3,157761,110.14.2.C
46,1397,English,Writing/Expository and Procedural Texts,110.14.b.20,3,175513,110.14.20
47,1394,English,Writing/Expository and Procedural Texts,110.14.b.20.A,3,175792,110.14.20.A
48,1395,English,Writing/Expository and Procedural Texts,110.14.b.20.A.i,3,157797,110.14.20.Ai
49,1396,English,Writing/Expository and Procedural Texts,110.14.b.20.A.ii,3,157798,110.14.20.Aii
50,1398,English,Writing/Expository and Procedural Texts,110.14.b.20.A.iii,3,157799,110.14.20.Aiii
51,1399,English,Writing/Expository and Procedural Texts,110.14.b.20.B,3,157800,110.14.20.B
52,1400,English,Writing/Expository and Procedural Texts,110.14.b.20.C,3,157801,110.14.20.C
