,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,1453,English,Reading/Fluency,110.15.b.1,4,"Reading/Fluency. Students read grade-level text with fluency and comprehension. Students are expected to read aloud grade-level stories with fluency (rate, accuracy, expression, appropriate phrasing) and comprehension.","read aloud grade-level stories with fluency (rate, accuracy, expression, appropriate phrasing) and comprehension.",157847,110.15.1.A
1,1475,English,Reading/Comprehension of Informational Text/Culture and History,110.15.b.10,4,"Reading/Comprehension of Informational Text/Culture and History. Students analyze, make inferences and draw conclusions about the author's purpose in cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to explain the difference between a stated and an implied purpose for an expository text.",explain the difference between a stated and an implied purpose for an expository text.,157863,110.15.10.A
2,1476,English,Reading/Comprehension of Informational Text/Expository Text,110.15.b.11,4,"Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding. Students are expected to:","Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding.",175534,110.15.11
3,1471,English,Reading/Comprehension of Informational Text/Expository Text,110.15.b.11.A,4,summarize the main idea and supporting details in text in ways that maintain meaning;,summarize the main idea and supporting details in text in ways that maintain meaning.,157864,110.15.11.A
4,1472,English,Reading/Comprehension of Informational Text/Expository Text,110.15.b.11.B,4,distinguish fact from opinion in a text and explain how to verify what is a fact;,distinguish fact from opinion in a text and explain how to verify what is a fact.,157865,110.15.11.B
5,1477,English,Reading/Comprehension of Informational Text/Expository Text,110.15.b.11.C,4,"describe explicit and implicit relationships among ideas in texts organized by cause-and-effect, sequence, or comparison; and","describe explicit and implicit relationships among ideas in texts organized by cause-and-effect, sequence, or comparison.",157866,110.15.11.C
6,1478,English,Reading/Comprehension of Informational Text/Expository Text,110.15.b.11.D,4,"use multiple text features (e.g., guide words, topic and concluding sentences) to gain an overview of the contents of text and to locate information.","use multiple text features (e.g., guide words, topic and concluding sentences) to gain an overview of the contents of text and to locate information.",157867,110.15.11.D
7,1479,English,Reading/Comprehension of Informational Text/Persuasive Text,110.15.b.12,4,"Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to explain how an author uses language to present information to influence what the reader thinks or does.",explain how an author uses language to present information to influence what the reader thinks or does.,157868,110.15.12.A
8,1480,English,Reading/Comprehension of Informational Text/Procedural Texts,110.15.b.13,4,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,175536,110.15.13
9,1473,English,Reading/Comprehension of Informational Text/Procedural Texts,110.15.b.13.A,4,"determine the sequence of activities needed to carry out a procedure (e.g., following a recipe); and","determine the sequence of activities needed to carry out a procedure (e.g., following a recipe).",157869,110.15.13.A
10,1481,English,Reading/Comprehension of Informational Text/Procedural Texts,110.15.b.13.B,4,"explain factual information presented graphically (e.g., charts, diagrams, graphs, illustrations).","explain factual information presented graphically (e.g., charts, diagrams, graphs, illustrations).",157870,110.15.13.B
11,1482,English,Reading/Media Literacy,110.15.b.14,4,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students continue to apply earlier standards with greater depth in increasingly more complex texts.",175537,110.15.14
12,1483,English,Reading/Media Literacy,110.15.b.14.A,4,explain the positive and negative impacts of advertisement techniques used in various genres of media to impact consumer behavior;,explain the positive and negative impacts of advertisement techniques used in various genres of media to impact consumer behavior.,157871,110.15.14.A
13,1484,English,Reading/Media Literacy,110.15.b.14.B,4,"explain how various design techniques used in media influence the message (e.g., pacing, close-ups, sound effects); and","explain how various design techniques used in media influence the message (e.g., pacing, close-ups, sound effects).",157872,110.15.14.B
14,1485,English,Reading/Media Literacy,110.15.b.14.C,4,compare various written conventions used for digital media (e.g. language in an informal e-mail vs. language in a web-based news article).,compare various written conventions used for digital media (e.g. language in an informal e-mail vs. language in a web-based news article).,157873,110.15.14.C
15,1489,English,Writing/Writing Process,110.15.b.15,4,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",175538,110.15.15
16,1490,English,Writing/Writing Process,110.15.b.15.A,4,"plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience and generating ideas through a range of strategies (e.g., brainstorming, graphic organizers, logs, journals);","plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience and generating ideas through a range of strategies (e.g., brainstorming, graphic organizers, logs, journals).",157874,110.15.15.A
17,1491,English,Writing/Writing Process,110.15.b.15.B,4,develop drafts by categorizing ideas and organizing them into paragraphs;,develop drafts by categorizing ideas and organizing them into paragraphs.,157875,110.15.15.B
18,1492,English,Writing/Writing Process,110.15.b.15.C,4,"revise drafts for coherence, organization, use of simple and compound sentences, and audience;","revise drafts for coherence, organization, use of simple and compound sentences, and audience.",157876,110.15.15.C
19,1493,English,Writing/Writing Process,110.15.b.15.D,4,"edit drafts for grammar, mechanics, and spelling using a teacher-developed rubric; and","edit drafts for grammar, mechanics, and spelling using a teacher-developed rubric.",157877,110.15.15.D
20,1494,English,Writing/Writing Process,110.15.b.15.E,4,revise final draft in response to feedback from peers and teacher and publish written work for a specific audience.,revise final draft in response to feedback from peers and teacher and publish written work for a specific audience.,157878,110.15.15.E
21,1495,English,Writing/Literary Texts,110.15.b.16,4,"Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas. Students are expected to:","Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas.",175539,110.15.16
22,1496,English,Writing/Literary Texts,110.15.b.16.A,4,write imaginative stories that build the plot to a climax and contain details about the characters and setting; and,write imaginative stories that build the plot to a climax and contain details about the characters and setting.,157879,110.15.16.A
23,1497,English,Writing/Literary Texts,110.15.b.16.B,4,"write poems that convey sensory details using the conventions of poetry (e.g., rhyme, meter, patterns of verse).","write poems that convey sensory details using the conventions of poetry (e.g., rhyme, meter, patterns of verse).",157880,110.15.16.B
24,1498,English,Writing,110.15.b.17,4,Writing. Students write about their own experiences. Students are expected to write about important personal experiences.,write about important personal experiences.,157881,110.15.17.A
25,1499,English,Writing/Expository and Procedural Texts,110.15.b.18,4,Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes. Students are expected to:,Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes.,175541,110.15.18
26,1500,English,Writing/Expository and Procedural Texts,110.15.b.18.A,4,create brief compositions that:,create brief compositions that,175798,110.15.18.A
27,1501,English,Writing/Expository and Procedural Texts,110.15.b.18.A.i,4,establish a central idea in a topic sentence;,create brief compositions that establish a central idea in a topic sentence.,157882,110.15.18.Ai
28,1502,English,Writing/Expository and Procedural Texts,110.15.b.18.A.ii,4,"include supporting sentences with simple facts, details, and explanations; and","create brief compositions that include supporting sentences with simple facts, details, and explanations.",157883,110.15.18.Aii
29,1503,English,Writing/Expository and Procedural Texts,110.15.b.18.A.iii,4,contain a concluding statement;,create brief compositions that contain a concluding statement.,157884,110.15.18.Aiii
30,1504,English,Writing/Expository and Procedural Texts,110.15.b.18.B,4,"write letters whose language is tailored to the audience and purpose (e.g., a thank you note to a friend) and that use appropriate conventions (e.g., date, salutation, closing); and","write letters whose language is tailored to the audience and purpose (e.g., a thank you note to a friend) and that use appropriate conventions (e.g., date, salutation, closing).",157885,110.15.18.B
31,1505,English,Writing/Expository and Procedural Texts,110.15.b.18.C,4,write responses to literary or expository texts and provide evidence from the text to demonstrate understanding.,write responses to literary or expository texts and provide evidence from the text to demonstrate understanding.,157886,110.15.18.C
32,1506,English,Writing/Persuasive Texts,110.15.b.19,4,Writing/Persuasive Texts. Students write persuasive texts to influence the attitudes or actions of a specific audience on specific issues. Students are expected to write persuasive essays for appropriate audiences that establish a position and use supporting details.,write persuasive essays for appropriate audiences that establish a position and use supporting details.,157887,110.15.19.A
33,1454,English,Reading/Vocabulary Development,110.15.b.2,4,Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing. Students are expected to:,Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing.,175543,110.15.2
34,1455,English,Reading/Vocabulary Development,110.15.b.2.A,4,"determine the meaning of grade-level academic English words derived from Latin, Greek, or other linguistic roots and affixes;","determine the meaning of grade-level academic English words derived from Latin, Greek, or other linguistic roots and affixes.",157848,110.15.2.A
35,1456,English,Reading/Vocabulary Development,110.15.b.2.B,4,"use the context of the sentence (e.g., in-sentence example or definition) to determine the meaning of unfamiliar words or multiple meaning words;","use the context of the sentence (e.g., in-sentence example or definition) to determine the meaning of unfamiliar words or multiple meaning words.",157849,110.15.2.B
36,1457,English,Reading/Vocabulary Development,110.15.b.2.C,4,"complete analogies using knowledge of antonyms and synonyms (e.g., boy:girl as male:____ or girl:woman as boy:_____);","complete analogies using knowledge of antonyms and synonyms (e.g., boy:girl as male:____ or girl:woman as boy:_____ ).",157850,110.15.2.C
37,1458,English,Reading/Vocabulary Development,110.15.b.2.D,4,identify the meaning of common idioms; and,identify the meaning of common idioms.,157851,110.15.2.D
38,1459,English,Reading/Vocabulary Development,110.15.b.2.E,4,"use a dictionary or glossary to determine the meanings, syllabication, and pronunciation of unknown words.","use a dictionary or glossary to determine the meanings, syllabication, and pronunciation of unknown words.",157852,110.15.2.E
39,1511,English,Oral and Written Conventions/Conventions,110.15.b.20,4,Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students continue to apply earlier standards with greater complexity. Students are expected to:,Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students continue to apply earlier standards with greater complexity.,175544,110.15.20
40,1507,English,Oral and Written Conventions/Conventions,110.15.b.20.A,4,"use and understand the function of the following parts of speech in the context of reading, writing, and speaking:","use and understand the function of the following parts of speech in the context of reading, writing, and speaking",175799,110.15.20.A
