,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,2770,English,Reading/Vocabulary Development,110.34.b.1,"9, 10, 11, 12",Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing. Students are expected to:,Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing.,175752,110.34.1
1,2792,English,Reading/Vocabulary Development,110.34.b.1.A,"9, 10, 11, 12","determine the meaning of technical academic English words in multiple content areas (e.g., science, mathematics, social studies, the arts) derived from Latin, Greek, or other linguistic roots and affixes;","determine the meaning of technical academic English words in multiple content areas (e.g., science, mathematics, social studies, the arts) derived from Latin, Greek, or other linguistic roots and affixes.",158605,110.34.1.A
2,2771,English,Reading/Vocabulary Development,110.34.b.1.B,"9, 10, 11, 12",analyze textual context (within a sentence and in larger sections of text) to draw conclusions about the nuance in word meanings;,analyze textual context (within a sentence and in larger sections of text) to draw conclusions about the nuance in word meanings.,158606,110.34.1.B
3,2793,English,Reading/Vocabulary Development,110.34.b.1.C,"9, 10, 11, 12","use the relationship between words encountered in analogies to determine their meanings (e.g., synonyms/antonyms, connotation/denotation);","use the relationship between words encountered in analogies to determine their meanings (e.g., synonyms/antonyms, connotation/denotation).",158607,110.34.1.C
4,2772,English,Reading/Vocabulary Development,110.34.b.1.D,"9, 10, 11, 12",analyze and explain how the English language has developed and been influenced by other languages; and,analyze and explain how the English language has developed and been influenced by other languages.,158608,110.34.1.D
5,2794,English,Reading/Vocabulary Development,110.34.b.1.E,"9, 10, 11, 12","use general and specialized dictionaries, thesauri, histories of language, books of quotations, and other related references (printed or electronic) as needed.","use general and specialized dictionaries, thesauri, histories of language, books of quotations, and other related references (printed or electronic) as needed.",158609,110.34.1.E
6,2657,English,Reading/Comprehension of Informational Text/Persuasive Text,110.34.b.10,"9, 10, 11, 12","Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to:","Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis.",175753,110.34.10
7,2658,English,Reading/Comprehension of Informational Text/Persuasive Text,110.34.b.10.A,"9, 10, 11, 12","evaluate the merits of an argument, action, or policy by analyzing the relationships (e.g., implication, necessity, sufficiency) among evidence, inferences, assumptions, and claims in text; and","evaluate the merits of an argument, action, or policy by analyzing the relationships (e.g., implication, necessity, sufficiency) among evidence, inferences, assumptions, and claims in text.",158626,110.34.10.A
8,2659,English,Reading/Comprehension of Informational Text/Persuasive Text,110.34.b.10.B,"9, 10, 11, 12",draw conclusions about the credibility of persuasive text by examining its implicit and stated assumptions about an issue as conveyed by the specific use of language.,draw conclusions about the credibility of persuasive text by examining its implicit and stated assumptions about an issue as conveyed by the specific use of language.,158627,110.34.10.B
9,2660,English,Reading/Comprehension of Informational Text/Procedural Texts,110.34.b.11,"9, 10, 11, 12",Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,175754,110.34.11
10,2661,English,Reading/Comprehension of Informational Text/Procedural Texts,110.34.b.11.A,"9, 10, 11, 12",draw conclusions about how the patterns of organization and hierarchic structures support the understandability of text; and,draw conclusions about how the patterns of organization and hierarchic structures support the understandability of text.,158628,110.34.11.A
11,2662,English,Reading/Comprehension of Informational Text/Procedural Texts,110.34.b.11.B,"9, 10, 11, 12","evaluate the structures of text (e.g., format, headers) for their clarity and organizational coherence and for the effectiveness of their graphic representations.","evaluate the structures of text (e.g., format, headers) for their clarity and organizational coherence and for the effectiveness of their graphic representations.",158629,110.34.11.B
12,2669,English,Reading/Media Literacy,110.34.b.12,"9, 10, 11, 12","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts.",175755,110.34.12
