,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,1327,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1,3,"Reading/Beginning Reading Skills/Phonics. Students use the relationships between letters and sounds, spelling patterns, and morphological analysis to decode written English. Students are expected to:","Reading/Beginning Reading Skills/Phonics. Students use the relationships between letters and sounds, spelling patterns, and morphological analysis to decode written English.",175501,110.14.1
1,1328,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A,3,decode multisyllabic words in context and independent of context by applying common spelling patterns including:,decode multisyllabic words in context and independent of context by applying common spelling patterns including,175790,110.14.1.A
2,1329,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.i,3,"dropping the final ""e"" and add endings such as -ing, -ed, or -able (e.g., use, using, used, usable);","decode multisyllabic words in context and independent of context by applying common spelling patterns including dropping the final ""e"" and add endings such as -ing, -ed, or -able (e.g., use, using, used, usable).",157746,110.14.1.Ai
3,1330,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.ii,3,"doubling final consonants when adding an ending (e.g., hop to hopping);","decode multisyllabic words in context and independent of context by applying common spelling patterns including doubling final consonants when adding an ending (e.g., hop to hopping).",157747,110.14.1.Aii
4,1331,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.iii,3,"changing the final ""y"" to ""i"" (e.g., baby to babies);","decode multisyllabic words in context and independent of context by applying common spelling patterns including changing the final ""y"" to ""i"" (e.g., baby to babies).",157748,110.14.1.Aiii
5,1332,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.iv,3,"using knowledge of common prefixes and suffixes (e.g., dis-, -ly); and","decode multisyllabic words in context and independent of context by applying common spelling patterns including using knowledge of common prefixes and suffixes (e.g., dis-, -ly).",157749,110.14.1.Aiv
6,1333,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.A.v,3,"using knowledge of derivational affixes (e.g., -de, -ful, -able);","decode multisyllabic words in context and independent of context by applying common spelling patterns including using knowledge of derivational affixes (e.g., -de, -ful, -able).",157750,110.14.1.Av
7,1334,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B,3,use common syllabication patterns to decode words including:,use common syllabication patterns to decode words including,175791,110.14.1.B
8,1335,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.i,3,"closed syllable (CVC) (e.g., mag-net, splen-did);","use common syllabication patterns to decode words including closed syllable (CVC) (e.g., mag-net, splen-did).",157751,110.14.1.Bi
9,1336,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.ii,3,"open syllable (CV) (e.g., ve-to);","use common syllabication patterns to decode words including open syllable (CV) (e.g., ve-to).",157752,110.14.1.Bii
10,1337,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.iii,3,"final stable syllable (e.g., puz-zle, con-trac-tion);","use common syllabication patterns to decode words including final stable syllable (e.g., puz-zle, con-trac-tion).",157753,110.14.1.Biii
11,1338,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.iv,3,"r-controlled vowels (e.g., fer-ment, car-pool); and","use common syllabication patterns to decode words including r-controlled vowels (e.g., fer-ment, car-pool).",157754,110.14.1.Biv
12,1339,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.B.v,3,"vowel digraphs and diphthongs (e.g., ei-ther);","use common syllabication patterns to decode words including vowel digraphs and diphthongs (e.g., ei-ther).",157755,110.14.1.Bv
13,1340,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.C,3,"decode words applying knowledge of common spelling patterns (e.g., -eigh, -ought);","decode words applying knowledge of common spelling patterns (e.g., -eigh, -ought).",157756,110.14.1.C
14,1341,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.D,3,"identify and read contractions (e.g., I'd, won't); and","identify and read contractions (e.g., I'd, won't).",157757,110.14.1.D
15,1342,English,Reading/Beginning Reading Skills/Phonics,110.14.b.1.E,3,monitor accuracy in decoding.,monitor accuracy in decoding.,157758,110.14.1.E
16,1366,English,Reading/Comprehension of Literary Text/Sensory Language,110.14.b.10,3,"Reading/Comprehension of Literary Text/Sensory Language. Students understand, make inferences and draw conclusions about how an author's sensory language creates imagery in literary text and provide evidence from text to support their understanding. Students are expected to identify language that creates a graphic visual experience and appeals to the senses.",identify language that creates a graphic visual experience and appeals to the senses.,157776,110.14.10.A
17,1367,English,Reading/Comprehension of Text/Independent Reading,110.14.b.11,3,"Reading/Comprehension of Text/Independent Reading. Students read independently for sustained periods of time and produce evidence of their reading. Students are expected to read independently for a sustained period of time and paraphrase what the reading was about, maintaining meaning and logical order (e.g., generate a reading log or journal; participate in book talks).","read independently for a sustained period of time and paraphrase what the reading was about, maintaining meaning and logical order (e.g., generate a reading log or journal; participate in book talks).",157777,110.14.11.A
18,1368,English,Reading/Comprehension of Informational Text/Culture and History,110.14.b.12,3,"Reading/Comprehension of Informational Text/Culture and History. Students analyze, make inferences and draw conclusions about the author's purpose in cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to identify the topic and locate the author's stated purposes in writing the text.",identify the topic and locate the author's stated purposes in writing the text.,157778,110.14.12.A
19,1369,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13,3,"Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding. Students are expected to:","Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding.",175505,110.14.13
20,1344,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.A,3,identify the details or facts that support the main idea;,identify the details or facts that support the main idea.,157779,110.14.13.A
21,1345,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.B,3,draw conclusions from the facts presented in text and support those assertions with textual evidence;,draw conclusions from the facts presented in text and support those assertions with textual evidence.,157780,110.14.13.B
22,1370,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.C,3,identify explicit cause and effect relationships among ideas in texts; and,identify explicit cause and effect relationships among ideas in texts.,157781,110.14.13.C
23,1371,English,Reading/Comprehension of Informational Text/Expository Text,110.14.b.13.D,3,"use text features (e.g., bold print, captions, key words, italics) to locate information and make and verify predictions about contents of text.","use text features (e.g., bold print, captions, key words, italics) to locate information and make and verify predictions about contents of text.",157782,110.14.13.D
24,1376,English,Reading/Comprehension of Informational Text/Persuasive Text,110.14.b.14,3,"Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to identify what the author is trying to persuade the reader to think or do.",identify what the author is trying to persuade the reader to think or do.,157783,110.14.14.A
25,1377,English,Reading/Comprehension of Informational Text/Procedural Texts,110.14.b.15,3,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,175507,110.14.15
26,1378,English,Reading/Comprehension of Informational Text/Procedural Texts,110.14.b.15.A,3,follow and explain a set of written multi-step directions; and,follow and explain a set of written multi-step directions.,157784,110.14.15.A
27,1379,English,Reading/Comprehension of Informational Text/Procedural Texts,110.14.b.15.B,3,locate and use specific information in graphic features of text.,locate and use specific information in graphic features of text.,157785,110.14.15.B
28,1380,English,Reading/Media Literacy,110.14.b.16,3,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts.",175508,110.14.16
29,1381,English,Reading/Media Literacy,110.14.b.16.A,3,understand how communication changes when moving from one genre of media to another;,understand how communication changes when moving from one genre of media to another.,157786,110.14.16.A
30,1382,English,Reading/Media Literacy,110.14.b.16.B,3,"explain how various design techniques used in media influence the message (e.g., shape, color, sound); and","explain how various design techniques used in media influence the message (e.g., shape, color, sound).",157787,110.14.16.B
31,1383,English,Reading/Media Literacy,110.14.b.16.C,3,"compare various written conventions used for digital media (e.g., language in an informal e-mail vs. language in a web-based news article).","compare various written conventions used for digital media (e.g., language in an informal e-mail vs. language in a web-based news article).",157788,110.14.16.C
32,1384,English,Writing/Writing Process,110.14.b.17,3,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",175509,110.14.17
33,1385,English,Writing/Writing Process,110.14.b.17.A,3,"plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience and generating ideas through a range of strategies (e.g., brainstorming, graphic organizers, logs, journals);","plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience and generating ideas through a range of strategies (e.g., brainstorming, graphic organizers, logs, journals).",157789,110.14.17.A
34,1386,English,Writing/Writing Process,110.14.b.17.B,3,develop drafts by categorizing ideas and organizing them into paragraphs;,develop drafts by categorizing ideas and organizing them into paragraphs.,157790,110.14.17.B
35,1387,English,Writing/Writing Process,110.14.b.17.C,3,"revise drafts for coherence, organization, use of simple and compound sentences, and audience;","revise drafts for coherence, organization, use of simple and compound sentences, and audience.",157791,110.14.17.C
36,1388,English,Writing/Writing Process,110.14.b.17.D,3,"edit drafts for grammar, mechanics, and spelling using a teacher-developed rubric; and","edit drafts for grammar, mechanics, and spelling using a teacher-developed rubric.",157792,110.14.17.D
37,1389,English,Writing/Writing Process,110.14.b.17.E,3,publish written work for a specific audience.,publish written work for a specific audience.,157793,110.14.17.E
