row_id,teks_id
5923,
5927,172768
5924,172769
5964,
5965,172798
5967,172799
5966,172800
5968,
5969,172801
5970,172802
5971,172803
5972,172804
5973,
5974,172805
5975,172806
5976,172807
5977,
5978,172808
5979,172809
5980,172810
5981,
5982,172811
5983,172812
5984,
5985,172813
5986,172814
5987,172815
5988,172816
5989,172817
5990,172818
5992,
5993,172819
5994,172820
5995,172821
5996,
5997,172822
5998,172823
5999,172824
6000,172825
6001,172826
6002,
6003,172827
6004,172828
6005,172829
6006,172830
6007,
6008,172831
6009,172832
5928,
5929,172770
5925,172771
6010,
6011,172833
6012,172834
6015,172835
6016,
6017,172836
6018,172837
6013,172838
6014,172839
5991,172840
5941,172841
5942,
5943,172842
5944,172843
6019,172844
6020,172845
6021,172846
6022,172847
6023,
6024,172848
6025,172849
5903,
5930,172772
5931,172773
5904,172774
5932,172775
5933,
5905,172776
5934,172777
5935,172778
5936,172779
5937,172780
5938,172781
5939,
5940,172782
5945,172783
5946,172784
5947,
5948,172785
5949,172786
5950,172787
5951,
5952,172788
5953,172789
5954,172790
5955,
5956,172791
5957,172792
5958,172793
5959,
5960,172794
5961,172795
5962,172796
5963,172797
6026,
6027,172850
6028,172851
6033,172852
6077,
6078,172884
6079,172885
6084,
6080,172886
6081,172887
6085,172888
6082,172889
6083,
6062,172890
6063,172891
6064,172892
6065,
6086,172893
6087,172894
6088,172895
6089,
6090,172896
6091,172897
6092,
6093,172898
6094,172899
6095,172900
6096,
6097,172901
6098,172902
6099,
6100,172903
6101,172904
6102,172905
6103,
6106,172906
6107,172907
6108,
6109,172908
6110,172909
6111,172910
6112,172911
6034,
6035,172853
6036,172854
6037,172855
6038,172856
6039,172857
6040,172858
6113,
6114,172912
6115,172913
6116,172914
6117,172915
6118,172916
6119,
6120,172917
6124,172918
6121,172919
6122,172920
6123,172921
6125,172922
6126,172923
6127,172924
6128,
6129,172925
6130,172926
6131,172927
6132,172928
6133,
6134,172929
6135,172930
6041,
6042,172859
6043,172860
6044,172861
6045,172862
6049,
6050,172863
6046,172864
6051,172865
6047,
6048,172866
6052,172867
6053,172868
6054,
6055,172869
6056,172870
6057,172871
6058,172872
6059,
6060,172873
6061,172874
6066,172875
6067,172876
6068,172877
6069,172878
6070,
6071,172879
6072,172880
6073,
6074,172881
6075,172882
6076,172883
6136,
6137,172931
6138,172932
6139,172933
6175,
6176,172967
6177,172968
6178,172969
6179,
6180,172970
6181,172971
6182,172972
6183,
6184,172973
6185,172974
6186,172975
6187,172976
6188,
6189,172977
6190,172978
6191,
6192,172979
6193,172980
6194,
6195,172981
6196,172982
6197,172983
6198,172984
6199,
6200,172985
6201,172986
6202,
6203,172987
6204,172988
6205,
6206,172989
6207,172990
6208,172991
6209,
6210,172992
6211,172993
6212,172994
6213,172995
6214,172996
6215,172997
6140,
6141,172934
6142,172935
6216,
6217,172998
6218,172999
6219,173000
6220,
6221,173001
6222,173002
6223,173003
6224,
6225,173004
6229,173005
6230,
6226,173006
6227,173007
6228,173008
6231,173009
6232,173010
6233,
6234,173011
6235,173012
6236,
6237,173013
6238,173014
6239,173015
6240,
6241,173016
6242,173017
6243,173018
6244,
6245,173019
6246,173020
6247,173021
6250,173022
6251,
6252,173023
6253,173024
6254,
6255,173025
6256,173026
6257,173027
6258,173028
6259,173029
6260,173030
6261,173031
6262,173032
6263,173033
6264,173034
6143,
6104,172936
6144,172937
6145,172938
6265,
6266,173035
6267,173036
6271,173037
6268,173038
6272,
6273,173039
6274,173040
6146,
6147,172939
6148,172940
6149,172941
6150,172942
6151,172943
6152,
6153,172944
6154,172945
6155,172946
6156,172947
6157,172948
6158,172949
6159,172950
6160,
6161,172951
6162,172952
6163,172953
6105,172954
6029,172955
6030,
6031,172956
6032,172957
6164,172958
6165,172959
6166,
6167,172960
6168,172961
6169,172962
6170,
6171,172963
6172,172964
6173,172965
6174,172966
6587,
6588,173294
6589,173295
6623,
6624,173317
6625,173318
6626,173319
6627,173320
6628,
6629,173321
6630,173322
6631,173323
6632,
6633,173324
6634,173325
6635,
6639,173326
6640,173327
6641,
6642,173328
6643,173329
6644,173330
6645,
6646,173331
6647,173332
6648,
6649,173333
6650,173334
6651,173335
6652,173336
6653,
6658,173337
6654,173338
6659,173339
6655,173340
6656,
6657,173341
6636,173342
6637,173343
6660,173344
6661,
6662,173345
6663,173346
6638,173347
6590,
6591,173296
6592,173297
6664,
6665,173348
6666,173349
6667,
6668,173350
6595,173351
6596,173352
6597,
6669,173353
6598,173354
6670,173355
6671,173356
6672,173357
6673,
6677,173358
6678,173359
6679,173360
6593,
6594,173298
6599,173299
6600,173300
6601,
6602,173301
6603,173302
6604,173303
6605,
6606,173304
6607,173305
6608,
6609,173306
6610,173307
6611,
6612,173308
6613,173309
6614,173310
6615,173311
6616,
6617,173312
6619,173313
6620,173314
6618,
6621,173315
6622,173316
6443,
6444,173171
6445,173172
6446,173173
6447,173174
6448,173175
6449,173176
6484,
6485,173213
6486,173214
6487,173215
6488,173216
6489,
6490,173217
6491,173218
6492,
6493,173219
6494,173220
6495,173221
6496,
6497,173222
6498,173223
6499,173224
6501,173225
6500,173226
6502,173227
6503,
6504,173228
6505,173229
6506,
6507,173230
6508,173231
6509,
6510,173232
6511,173233
6512,173234
6513,
6514,173235
6515,173236
6516,173237
6517,
6518,173238
6519,173239
6520,173240
6521,173241
6522,173242
6523,173243
6524,
6525,173244
6526,173245
6450,
6451,173177
6452,173178
6453,173179
6527,
6528,173246
6529,173247
6530,173248
6531,173249
6532,
6533,173250
6534,173251
6535,173252
6536,
6537,173253
6541,173254
6538,173255
6539,173256
6542,173257
6540,173258
6543,
6544,173259
6545,173260
6546,
6547,173261
6548,173262
6549,
6550,173263
6551,173264
6552,173265
6553,173266
6554,
6555,173267
6556,173268
6557,173269
6562,
6563,173270
6564,173271
6565,173272
6566,173273
6567,173274
6568,
6569,173275
6570,173276
6571,173277
6572,173278
6573,173279
6574,
6575,173280
6580,173281
6581,173282
6576,173283
6577,173284
6582,173285
6578,173286
6579,173287
6456,
6457,173180
6454,173181
6455,173182
6558,
6559,173288
6560,173289
6561,173290
6583,173291
6584,
6585,173292
6586,173293
6458,
6417,173183
6418,173184
6459,173185
6419,173186
6420,173187
6287,173188
6288,173189
6379,173190
6380,173191
6381,173192
6382,173193
6460,
6461,173194
6462,173195
6463,
6464,173196
6465,173197
6466,
6467,173198
6468,173199
6469,173200
6470,173201
6471,173202
6472,173203
6473,
6474,173204
6475,173205
6476,173206
6477,173207
6478,173208
6479,
6480,173209
6481,173210
6482,173211
6483,173212
6680,
6681,173361
6682,173362
6683,173363
6684,173364
6685,173365
6686,173366
6724,
6725,173399
6726,173400
6727,173401
6728,
6729,173402
6730,173403
6731,173404
6735,
6736,173405
6737,173406
6738,173407
6739,
6740,173408
6741,173409
6742,173410
6743,173411
6744,173412
6745,173413
6746,
6747,173414
6748,173415
6749,173416
6750,173417
6751,
6752,173418
6753,173419
6754,173420
6756,
6757,173421
6758,173422
6755,
6759,173423
6760,173424
6761,
6732,173425
6762,173426
6763,
6733,173427
6734,173428
6687,
6688,173367
6689,173368
6764,
6765,173429
6766,173430
6767,173431
6768,173432
6769,173433
6770,173434
6771,
6772,173435
6773,173436
6774,173437
6775,173438
6776,
6777,173439
6778,173440
6690,
6691,173369
6692,173370
6693,173371
6674,
6675,173372
6676,173373
6694,
6695,173374
6696,173375
6697,173376
6698,173377
6699,
6700,173378
6701,173379
6702,
6703,173380
6704,173381
6705,173382
6706,173383
6707,173384
6708,173385
6709,173386
6710,
6714,173387
6715,173388
6716,173389
6717,173390
6711,173391
6712,173392
6713,173393
6718,173394
6719,
6720,173395
6721,173396
6722,173397
6723,173398
10227,
10228,173647
10229,173648
10230,173649
10202,173650
10260,
10261,173676
10262,173677
10263,
10264,173678
10265,173679
10266,173680
10267,
10268,173681
10269,173682
10270,173683
10271,
10272,173684
10273,173685
10274,173686
10275,173687
10276,
10277,173688
10278,173689
10279,173690
10280,
10163,173691
10164,173692
10085,173693
10086,
10281,173694
10282,173695
10283,173696
10284,173697
10285,
10286,173698
10287,173699
10288,173700
10289,173701
10290,
10291,173702
10292,173703
10293,173704
10294,173705
10295,173706
10296,173707
10297,173708
10298,
10299,173709
10300,173710
10301,173711
10302,173712
10203,
10204,173651
10205,173652
10162,173653
10306,
10303,173713
10304,173714
10305,173715
10307,
10308,173716
10309,173717
10310,173718
10311,173719
10312,173720
10313,173721
10314,
10315,173722
10316,173723
10317,173724
10318,173725
10319,173726
10320,175852
10321,
10322,173727
10323,173728
10328,175853
10329,175854
10330,175855
10331,
10332,175856
10333,175857
10231,
10232,173654
10233,173655
10234,173656
10235,
10236,173657
10237,173658
10238,173659
10239,
10240,173660
10241,173661
10242,173662
10243,173663
10244,173664
10245,
10246,173665
10247,173666
10248,173667
10249,173668
10250,
10251,173669
10252,173670
10253,
10254,173671
10255,173672
10256,173673
10257,
10258,173674
10259,173675
