,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,4641,Science,Scientific investigation and reasoning,112.14.b.1,3,,
1,4642,Science,Scientific investigation and reasoning,112.14.b.1.A,3,160101,112.14.1.A
2,4643,Science,Scientific investigation and reasoning,112.14.b.1.B,3,160102,112.14.1.B
3,4678,Science,Organisms and environments,112.14.b.10,3,,
4,4679,Science,Organisms and environments,112.14.b.10.A,3,160133,112.14.10.A
5,4680,Science,Organisms and environments,112.14.b.10.B,3,160135,112.14.10.C
6,4644,Science,Scientific investigation and reasoning,112.14.b.2,3,,
7,4645,Science,Scientific investigation and reasoning,112.14.b.2.A,3,160103,112.14.2.A
8,4646,Science,Scientific investigation and reasoning,112.14.b.2.B,3,160104,112.14.2.B
9,4647,Science,Scientific investigation and reasoning,112.14.b.2.C,3,160105,112.14.2.C
10,4648,Science,Scientific investigation and reasoning,112.14.b.2.D,3,160106,112.14.2.D
11,4649,Science,Scientific investigation and reasoning,112.14.b.2.E,3,160107,112.14.2.E
12,4650,Science,Scientific investigation and reasoning,112.14.b.2.F,3,160108,112.14.2.F
13,4651,Science,Scientific investigation and reasoning,112.14.b.3,3,,
14,4652,Science,Scientific investigation and reasoning,112.14.b.3.A,3,160109,112.14.3.A
15,4653,Science,Scientific investigation and reasoning,112.14.b.3.B,3,160111,112.14.3.C
16,4654,Science,Scientific investigation and reasoning,112.14.b.3.C,3,160112,112.14.3.D
17,4655,Science,Scientific investigation and reasoning,112.14.b.4,3,160113,112.14.4.A
18,4656,Science,Matter and energy,112.14.b.5,3,,
19,4657,Science,Matter and energy,112.14.b.5.A,3,160115,112.14.5.A
20,4658,Science,Matter and energy,112.14.b.5.B,3,160116,112.14.5.B
21,4659,Science,Matter and energy,112.14.b.5.C,3,160117,112.14.5.C
22,4660,Science,Matter and energy,112.14.b.5.D,3,160118,112.14.5.D
23,4661,Science,"Force, motion, and energy",112.14.b.6,3,,
24,4662,Science,"Force, motion, and energy",112.14.b.6.A,3,160119,112.14.6.A
25,4663,Science,"Force, motion, and energy",112.14.b.6.B,3,160120,112.14.6.B
26,4664,Science,"Force, motion, and energy",112.14.b.6.C,3,160121,112.14.6.C
27,4665,Science,Earth and space,112.14.b.7,3,,
28,4666,Science,Earth and space,112.14.b.7.A,3,160122,112.14.7.A
29,4667,Science,Earth and space,112.14.b.7.B,3,160123,112.14.7.B
30,4668,Science,Earth and space,112.14.b.7.C,3,160125,112.14.7.D
31,4669,Science,Earth and space,112.14.b.8,3,,
32,4670,Science,Earth and space,112.14.b.8.A,3,160126,112.14.8.A
33,4671,Science,Earth and space,112.14.b.8.B,3,160127,112.14.8.B
34,4672,Science,Earth and space,112.14.b.8.C,3,160128,112.14.8.C
35,4673,Science,Earth and space,112.14.b.8.D,3,160129,112.14.8.D
36,4674,Science,Organisms and environments,112.14.b.9,3,,
37,4675,Science,Organisms and environments,112.14.b.9.A,3,160130,112.14.9.A
38,4676,Science,Organisms and environments,112.14.b.9.B,3,160131,112.14.9.B
39,4677,Science,Organisms and environments,112.14.b.9.C,3,160132,112.14.9.C
