,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_text,aware_text,teks_id,teks_display_path
0,4718,Science,Scientific investigation and reasoning,112.16.b.1,5,Scientific investigation and reasoning. The student conducts classroom and outdoor investigations following home and school safety procedures and environmentally appropriate and ethical practices. The student is expected to:,demonstrate safe practices and the use of safety equipment as described in the Texas Safety Standards during classroom and outdoor investigations.,160136.0,112.15.1.A
1,4719,Science,Scientific investigation and reasoning,112.16.b.1.A,5,"demonstrate safe practices and the use of safety equipment as outlined in Texas Education Agency-approved safety standards during classroom and outdoor investigations using safety equipment, including safety goggles or chemical splash goggles, as appropriate, and gloves, as appropriate; and","make informed choices in the use and conservation of natural resources and reusing and recycling of materials such as paper, aluminum, glass, cans, and plastic.",160137.0,112.15.1.B
2,4720,Science,Scientific investigation and reasoning,112.16.b.1.B,5,"make informed choices in the conservation, disposal, and recycling of materials.",explore how adaptations enable organisms to survive in their environment such as comparing birds' beaks and leaves on plants.,160165.0,112.15.10.A
3,5435,Science,Science concepts,112.16.b.10,5,identify fossils as evidence of past living organisms and the nature of the environments at the time using models.,"demonstrate that some likenesses between parents and offspring are inherited, passed from generation to generation such as eye color in humans or shapes of leaves in plants. Other likenesses are learned such as table manners or reading a book and seals balancing balls on their noses.",160166.0,112.15.10.B
4,4757,Science,Organisms and environments,112.16.b.11,5,Organisms and environments. The student knows that organisms have structures and behaviors that help them survive within their environments. The student is expected to:,"explore, illustrate, and compare life cycles in living organisms such as butterflies, beetles, radishes, or lima beans.",160167.0,112.15.10.C
5,4761,Science,Organisms and environments,112.16.b.11.A,5,compare the structures and functions of different species that help them live and survive in a specific environment such as hooves on prairie animals or webbed feet in aquatic animals; and,"plan and implement descriptive investigations, including asking well-defined questions, making inferences, and selecting and using appropriate equipment or technology to answer his/her questions.",160138.0,112.15.2.A
6,4762,Science,Organisms and environments,112.16.b.11.B,5,differentiate between inherited traits of plants and animals such as spines on a cactus or shape of a beak and learned behaviors such as an animal learning tricks or a child riding a bicycle.,"collect and record data by observing and measuring, using the metric system, and using descriptive words and numerals such as labeled drawings, writing, and concept maps.",160139.0,112.15.2.B
7,4722,Science,Scientific investigation and reasoning,112.16.b.2,5,Scientific investigation and reasoning. The student uses scientific practices during laboratory and outdoor investigations. The student is expected to:,"construct simple tables, charts, bar graphs, and maps using tools and current technology to organize, examine, and evaluate data.",160140.0,112.15.2.C
8,4721,Science,Scientific investigation and reasoning,112.16.b.2.A,5,"describe, plan, and implement simple experimental investigations testing one variable;",analyze data and interpret patterns to construct reasonable explanations from data that can be observed and measured.,160141.0,112.15.2.D
9,4723,Science,Scientific investigation and reasoning,112.16.b.2.B,5,"ask well defined questions, formulate testable hypotheses, and select and use appropriate equipment and technology;",perform repeated investigations to increase the reliability of results.,160142.0,112.15.2.E
10,4724,Science,Scientific investigation and reasoning,112.16.b.2.C,5,collect and record information using detailed observations and accurate measuring;,"communicate valid, oral, and written results supported by data.",160143.0,112.15.2.F
11,4725,Science,Scientific investigation and reasoning,112.16.b.2.D,5,analyze and interpret information to construct reasonable explanations from direct (observable) and indirect (inferred) evidence;,"in all fields of science, analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, including examining all sides of scientific evidence of those scientific explanations, so as to encourage critical thinking by the student.",160144.0,112.15.3.A
12,4726,Science,Scientific investigation and reasoning,112.16.b.2.E,5,demonstrate that repeated investigations may increase the reliability of results;,"draw inferences and evaluate accuracy of services and product claims found in advertisements and labels such as for toys, food, and sunscreen.",160145.0,112.15.3.B
13,4727,Science,Scientific investigation and reasoning,112.16.b.2.F,5,communicate valid conclusions in both written and verbal forms; and,"represent the natural world using models such as rivers, stream tables, or fossils and identify their limitations, including accuracy and size.",160146.0,112.15.3.C
14,4728,Science,Scientific investigation and reasoning,112.16.b.2.G,5,"construct appropriate simple graphs, tables, maps, and charts using technology, including computers, to organize, examine, and evaluate information.","connect grade-level appropriate science concepts with the history of science, science careers, and contributions of scientists.",160147.0,112.15.3.D
15,4729,Science,Scientific investigation and reasoning,112.16.b.3,5,Scientific investigation and reasoning. The student uses critical thinking and scientific problem solving to make informed decisions. The student is expected to:,"collect, record, and analyze information using tools, including calculators, microscopes, cameras, computers, hand lenses, metric rulers, Celsius thermometers, mirrors, spring scales, pan balances, triple beam balances, graduated cylinders, beakers, hot plates, meter sticks, compasses, magnets, collecting nets, and notebooks; timing devices, including clocks and stopwatches. materials to support observation of habitats of organisms such as terrariums and aquariums.",160148.0,112.15.4.A
16,4730,Science,Scientific investigation and reasoning,112.16.b.3.A,5,"analyze, evaluate, and critique scientific explanations by using evidence, logical reasoning, and experimental and observational testing;","use safety equipment as appropriate, including safety goggles and gloves.",160149.0,112.15.4.B
17,4731,Science,Scientific investigation and reasoning,112.16.b.3.B,5,"draw or develop a model that represents how something that cannot be seen such as the Sun, Earth, and Moon system and formation of sedimentary rock works or looks; and","measure, compare, and contrast physical properties of matter, including size, mass, volume, states (solid, liquid, gas), temperature, magnetism, and the ability to sink or float.",160150.0,112.15.5.A
18,4732,Science,Scientific investigation and reasoning,112.16.b.3.C,5,"connect grade-level appropriate science concepts with the history of science, science careers, and contributions of scientists.",predict the changes caused by heating and cooling such as ice becoming liquid water and condensation forming on the outside of a glass of ice water.,160151.0,112.15.5.B
19,4733,Science,Scientific investigation and reasoning,112.16.b.4,5,"Scientific investigation and reasoning. The student knows how to use a variety of tools and methods to conduct science inquiry. The student is expected to collect, record, and analyze information using tools, including calculators, microscopes, cameras, computers, hand lenses, metric rulers, Celsius thermometers, prisms, mirrors, balances, spring scales, graduated cylinders, beakers, hot plates, meter sticks, magnets, collecting nets, and notebooks; timing devices; and materials to support observations of habitats or organisms such as terrariums and aquariums.","compare and contrast a variety of mixtures and solutions such as rocks in sand, sand in water, or sugar in water.",160152.0,112.15.5.C
20,4734,Science,Matter and energy,112.16.b.5,5,"Matter and energy. The student knows that matter has measurable physical properties and those properties determine how matter is classified, changed, and used. The student is expected to:","differentiate among forms of energy, including mechanical, sound, electrical, light, and heat/thermal.",160153.0,112.15.6.A
21,4735,Science,Matter and energy,112.16.b.5.A,5,"classify matter based on measurable, testable, and observable physical properties, including mass, magnetism, physical state (solid, liquid, and gas), relative density (sinking and floating using water as a reference point), solubility in water, and the ability to conduct or insulate thermal energy or electric energy;",differentiate between conductors and insulators.,160154.0,112.15.6.B
22,4736,Science,Matter and energy,112.16.b.5.B,5,demonstrate that some mixtures maintain physical properties of their ingredients such as iron filings and sand and sand and water; and,"demonstrate that electricity travels in a closed path, creating an electrical circuit, and explore an electromagnetic field.",160155.0,112.15.6.C
